,HYPERION_Transmittance.0008475,HYPERION_Transmittance.0008476,HYPERION_Transmittance.0008477,HYPERION_Transmittance.0008478,HYPERION_Transmittance.0008479,HYPERION_Transmittance.0008480,HYPERION_Transmittance.0008481,HYPERION_Transmittance.0008482,HYPERION_Transmittance.0008483,HYPERION_Transmittance.0008484,HYPERION_Transmittance.0008485,HYPERION_Transmittance.0008486,HYPERION_Transmittance.0008487,HYPERION_Transmittance.0008488,HYPERION_Transmittance.0008489,HYPERION_Transmittance.0008490,HYPERION_Transmittance.0008491,HYPERION_Transmittance.0008492,HYPERION_Transmittance.0008493,HYPERION_Transmittance.0008494
0,-0.0022771391730027945,0.00023322016013855156,-0.003930182032696765,0.0008944184556015094,-0.000539397402447598,-0.0038373594134516248,-0.0021409171523599662,5.071525475745171e-05,-0.004033463815607525,-0.003298556275904322,-0.002912063409703181,0.001933721130950141,0.00042475466566120634,0.0018618821905439429,-0.004588498367630471,-0.006520409310708635,-0.0017042076448899274,-0.0023550267494249775,-0.00784101566667886,-0.0004779410423541866
1,-0.002803784328967688,-0.002474459287224551,-0.002594404421104917,-0.002701029145976554,-0.002543808235798821,-0.0019212235728540384,-0.0022550606141699303,-0.002441639002115442,-0.001988877745754267,-0.001970754810863292,-0.0020484660928051937,-0.0020563798051765505,-0.0022573590896232043,-0.002178161404146776,-0.0015466158761828672,-0.0014654482782528364,-0.001626641528202186,-0.0015726466543591595,-0.0011967245280189516,-0.0018695805222330585
2,777.5027769983236,862.8770939198463,833.5170449069496,834.4340753783911,863.5348813219018,874.4627677127623,865.5371446256845,834.5315055733098,877.5445382196134,874.6514507616307,883.4491625571268,883.5048161122902,879.3742217218257,910.399046891408,910.127578881959,927.4204870058985,913.2689702607207,955.8231630375086,937.9629860618566,913.3300516957818
3,185.44855199572154,152.03895845163095,163.00356314426955,188.49616937688327,179.62883595055385,123.96908980896988,147.91125606044713,163.7863920783196,136.88984141868417,135.97151419631152,134.1915725238175,132.18996802926694,-151.44723236565164,-149.08199595956054,-120.42968630349867,98.04942727241264,130.31643061076883,108.27542175405186,99.34989092773185,135.74483309003617
4,[2.15422224e-05 1.47369946e-04 2.54819630e+01 1.46868330e+01],[2.33299106e-05 5.75513670e-05 1.03215796e+01 8.76149032e+00],[2.32008031e-05 7.32974965e-05 1.46804535e+01 1.07250058e+01],[2.55820186e-05 7.59188582e-05 1.66403578e+01 1.20805193e+01],[2.98881487e-05 6.91442809e-05 1.47139653e+01 1.21203990e+01],[2.31416643e-05 6.00081953e-05 9.19323942e+00 8.74793734e+00],[2.50300341e-05 6.15317726e-05 1.14576943e+01 9.91779535e+00],[2.50706065e-05 7.81438778e-05 1.67138189e+01 1.22591288e+01],[2.66254469e-05 6.50496453e-05 1.10398950e+01 1.03427209e+01],[2.68549676e-05 6.63130342e-05 1.15434020e+01 1.06864132e+01],[2.68675083e-05 6.56296589e-05 9.85505129e+00 9.55371646e+00],[2.90166655e-05 7.14846919e-05 1.04128959e+01 1.01440684e+01],[3.17549790e-05 7.32861781e-05 1.26874223e+01 1.16415426e+01],[3.16701092e-05 7.03135783e-05 9.34234795e+00 9.78581082e+00],[2.84991575e-05 7.29302760e-05 9.15704226e+00 1.01845251e+01],[2.98620564e-05 8.57077711e-05 7.10860016e+00 8.31184153e+00],[3.23307873e-05 7.84299930e-05 1.05718551e+01 1.16274475e+01],[3.22691328e-05 8.53320330e-05 6.89392660e+00 8.09136432e+00],[3.20546731e-05 9.04912830e-05 8.99453577e+00 1.05104953e+01],[3.59243689e-05 8.48086933e-05 1.07339124e+01 1.16752052e+01]
5,-0.00216072482437111,0.0003193284335489226,-0.0038274346806404774,0.0010198384298908906,-0.00043426135277824685,-0.0037880684183336103,-0.0020614443359429206,0.00012213350814037412,-0.003979269165976391,-0.0032536343174632654,-0.0028683045838891427,0.001973200287588956,0.00047438273350207676,0.001913216559902651,-0.006700597825551592,-0.008547780099836965,-0.003951278560598413,-0.004290077901553752,-0.009769108716844726,-0.0031442760691617433
6,-1.4578344314634633,-1.14478603579345,-1.2785944152838662,-1.5902214577068194,-1.4266050144217628,0.7349587907197919,1.069871309999059,-1.1645840437912165,0.86328168266377,0.8147263888263913,0.8375056958070277,0.826027012791222,-1.0248621861730807,-1.0251910907809383,-3.098544862141652,-3.020197950243173,-3.1875488216135737,-2.577687944343157,-2.8697310269586476,-3.851504512896525
7,822.0809917466215,880.4299041189332,858.2514986231341,858.5419342763026,881.8136211947947,883.1711513136261,874.5498668803576,854.2020300377108,880.6981991169685,881.0893744764142,887.8896382943628,885.0936627263088,886.1011948259372,909.7883606264343,1412.7656019494236,1396.0064270731511,1418.1360741953736,1409.4161782561048,1392.8814206118932,1433.2773807471035
8,323.69848561486333,267.7063984653853,295.54534738565184,350.55570381940964,328.086557103666,-225.49134012211516,-284.4169597821466,285.8614199891819,-259.7544689028857,-246.42996896907005,-241.52640390437224,-236.75231812494135,268.41957664667166,278.75620805870466,-624.1871280833509,-616.2743460146229,-584.1088955320124,-501.72000304561385,-585.2299660986628,-612.2436673718818
9,[3.12409474e-05 1.27603917e-01 1.13342728e+01 2.28470426e+01],[2.91488649e-05 6.48466451e-02 4.75720574e+00 1.62697605e+01],[3.10910197e-05 8.73885115e-02 6.85757874e+00 1.98639857e+01],[3.64749802e-05 1.16856525e-01 8.56246197e+00 2.40228318e+01],[3.96406199e-05 1.04290219e-01 7.28958473e+00 2.42102095e+01],[2.81138571e-05 5.27648957e-02 5.17240742e+00 1.83056991e+01],[3.31957457e-05 8.07253822e-02 6.82169630e+00 2.23392815e+01],[3.32097363e-05 9.37180839e-02 7.98358312e+00 2.25413332e+01],[3.37377800e-05 7.29427711e-02 6.90658119e+00 2.37706069e+01],[3.32581791e-05 6.84021812e-02 6.54996214e+00 2.27680160e+01],[3.30368674e-05 6.42658724e-02 5.79596366e+00 2.07040533e+01],[3.52825806e-05 6.84354211e-02 6.19024328e+00 2.19499437e+01],[3.97062410e-05 8.57042906e-02 6.92350054e+00 2.42852592e+01],[4.01131501e-05 8.01010634e-02 6.35114621e+00 2.38723794e+01],[8.79921293e-05 1.97874271e-01 3.16229398e+00 2.69994792e+01],[9.60779807e-05 2.14450920e-01 3.54303298e+00 2.98316167e+01],[7.98296380e-05 1.72800632e-01 2.82897667e+00 2.22409182e+01],[6.24434507e-05 1.24092653e-01 2.74647412e+00 1.83583475e+01],[8.73800152e-05 1.89306678e-01 3.42517187e+00 2.70708467e+01],[9.09233457e-05 2.02372566e-01 2.67732730e+00 2.20681072e+01]
